500 3
12.260  9.417 -0.134
 8.012 10.117  1.038
10.477 10.790 -1.673
10.025 10.621  0.620
 9.519 10.592 -0.905
10.477  9.467  1.613
 9.496  9.036 -0.171
12.330  9.727 -0.243
10.121 10.153  0.573
10.255 10.351 -0.358
 9.473  9.137 -1.461
 8.215  8.463  0.827
 9.608 10.586 -2.156
10.679  9.633 -0.495
 9.204 10.138 -0.194
10.024  8.977  0.181
 7.797  8.902 -1.100
 8.979  9.986 -0.193
10.390 10.675  0.969
11.709 10.594  3.034
 9.518 10.366 -0.282
 9.729 10.779 -0.673
 7.978 11.025 -2.139
 9.500  8.082  0.996
 9.155 10.363  0.965
10.370 10.463  1.403
 9.630 10.952  0.714
10.168 10.898  0.681
 9.588 12.245  1.112
 9.945  9.347 -0.518
 9.057  8.880  0.584
10.145 10.413 -0.435
11.046 10.629 -1.661
11.430  9.375 -0.278
 9.889 11.000  0.691
10.721 10.805 -1.244
 9.161  9.632 -0.152
 8.770  9.812 -0.070
 8.651 10.212 -0.914
 8.779  9.937 -0.365
11.125  9.499  0.198
10.040 10.453 -1.468
11.442 10.225 -1.161
 8.908  9.589 -0.528
 9.528  9.008  1.529
10.395  9.644 -0.790
 8.920  8.066 -0.442
 8.356  8.364 -0.704
 9.640 10.428 -0.440
 8.819 11.700 -0.647
 9.091  9.370 -0.441
 9.329  8.492 -0.896
 8.358  9.538 -1.077
 9.620 10.732  0.676
11.188  8.110  0.642
10.930  9.756  1.030
 8.347 10.668  1.408
11.718 10.094  0.753
12.621 10.499 -1.039
 9.276  9.640  0.900
 8.847  9.896 -0.459
11.172  9.168  1.338
11.362  9.563 -0.893
10.019  9.559  0.802
10.255 10.040  0.975
10.767  9.963 -0.147
 9.023  9.708  2.240
10.094 10.393 -0.515
10.358  8.856 -1.015
 9.931 10.597  0.958
10.497 10.163  0.753
10.805 11.435 -1.945
 9.322 10.339  1.156
11.962 10.091 -0.947
 8.845  9.133 -0.366
10.792 12.308 -0.729
 8.731 10.100 -0.339
10.607 10.467  0.328
 8.608  9.244  1.419
 8.811 10.146  1.399
10.507 10.068 -1.507
10.118 11.185  0.889
 9.746  9.208  2.251
10.847  8.513 -0.917
 8.348  9.075 -0.403
 9.448 11.349 -0.049
 9.661 10.237  0.604
 8.602 11.332  2.833
11.417  9.956  0.929
10.536 11.981  0.016
 9.726  9.885 -0.555
 9.584 10.605  1.518
 8.865  9.808 -0.234
10.561  9.891  1.150
10.315  9.473 -0.125
10.925  7.716  0.355
 9.961  9.072 -2.641
12.240 10.271 -1.123
 8.791  9.677  0.177
 9.181 11.571 -1.149
-10.670 12.453 -1.322
-9.573  9.884 -1.055
-8.733 10.037 -0.649
-9.389  9.255 -1.030
-10.352  7.646 -2.164
-10.431  9.823 -0.099
-9.189  9.440 -1.140
-9.734 11.809 -0.060
-10.720 11.100 -1.453
-8.494 10.263  0.498
-8.664 10.152 -0.250
-9.834 10.400  0.735
-8.984 10.104 -0.712
-11.244 10.078 -0.692
-9.507  9.302 -1.023
-11.078  9.512  0.240
-7.574  7.867  0.050
-10.019  9.712  1.080
-7.822  9.606 -0.263
-11.090  8.519  0.472
-10.634 10.977 -0.142
-8.459 11.947 -0.287
-12.515  8.876 -0.962
-9.225  9.653 -0.192
-12.305  9.564  0.889
-9.241 10.566 -0.003
-9.092  9.235 -0.055
-8.665 10.333  0.597
-8.744 10.766  1.792
-9.625 10.389 -1.081
-10.689  8.851 -0.781
-9.896  8.328  0.866
-10.095 10.797  1.190
-9.940 10.940 -1.356
-8.358 11.763 -1.051
-10.612 10.780 -1.358
-11.812  9.397 -0.661
-9.681  9.802 -0.319
-8.846  9.906  0.901
-9.573 10.729 -0.294
-10.044 10.575 -0.549
-9.689  9.010  1.961
-8.716  9.093 -0.724
-10.247  9.973 -1.182
-9.143 10.014  0.351
-8.875  9.768 -2.391
-9.236  9.168 -1.341
-9.579 11.410 -0.158
-10.652  8.951 -0.069
-10.578  8.411 -1.445
-10.931 10.558 -2.017
-8.040 10.861 -0.510
-9.534 10.506  0.788
-9.176  9.928  0.740
-9.868  9.855  2.118
-11.712  9.975 -1.487
-11.268 10.090  1.197
-9.263 11.112  0.193
-10.052  9.367  0.999
-9.031  9.647  0.632
-9.161  9.475  1.934
-7.940  9.614  0.983
-8.817 10.126 -0.629
-10.090 10.144 -0.401
-10.155 10.550  0.306
-9.507 11.578  0.415
-10.889 10.014  0.731
-10.997  8.671 -0.442
-10.617  9.978 -0.134
-11.013 10.493  1.944
-9.223 10.576  1.812
-8.354  8.366  0.464
-11.498  9.626 -1.838
-8.959  9.135  1.296
-10.595  9.741 -0.925
-10.258  9.230 -0.770
-8.291 10.202  0.401
-8.883  9.725  0.760
-10.433  9.228  0.788
-9.673  8.649 -2.398
-12.129 10.330  0.220
-9.927  9.803  0.090
-10.004 10.206 -0.444
-10.961  9.288 -0.360
-10.853  9.052 -0.084
-11.326  9.529 -1.578
-9.454 10.847 -1.459
-8.778 10.215 -0.444
-10.401  9.954  0.510
-10.053 12.546  0.016
-11.176 12.547 -0.676
-8.616 10.622  0.304
-9.749 10.730 -0.487
-9.911 10.088  0.546
-9.329  9.194  0.096
-8.554 11.096 -0.141
-9.486 11.099 -0.037
-10.102 10.044  1.011
-10.871  9.393 -0.879
-8.344 11.427  1.164
 9.802 -9.452  2.211
12.717 -7.701 -0.505
 9.969 -10.616 -0.964
 9.431 -11.596 -1.340
 9.334 -9.552  1.183
 8.917 -10.278 -0.860
10.336 -10.466  1.133
 9.705 -9.555  0.004
 9.178 -9.418 -0.453
10.514 -9.199  1.375
 9.990 -10.403  0.343
 8.842 -11.132  0.395
 8.864 -11.495 -1.003
 9.943 -9.252 -0.678
11.992 -9.670  0.821
 9.797 -10.831 -0.622
 9.286 -9.425 -0.674
 9.760 -9.759  0.525
 9.599 -10.324 -0.026
 8.817 -11.177 -1.491
 7.795 -9.649 -0.168
10.470 -8.465 -0.937
10.413 -10.317  0.190
 9.544 -9.525  0.013
 8.798 -10.049 -1.410
11.582 -9.020  1.325
 9.298 -9.108 -0.719
 8.909 -10.969  1.003
 8.625 -11.251 -0.450
10.443 -10.111 -0.370
11.802 -8.239 -0.489
 8.828 -8.578 -0.412
10.658 -12.091  0.210
 9.387 -10.846 -0.017
11.297 -9.186  0.966
11.282 -9.192 -0.351
 9.620 -10.151  0.075
 9.977 -9.973  1.130
 9.820 -9.569  1.498
10.824 -9.656 -0.337
10.624 -9.642 -0.910
10.539 -9.874  0.320
10.229 -9.653  0.935
 9.423 -7.698 -0.921
 7.350 -10.008 -0.286
 9.576 -9.554  0.987
11.943 -10.585  1.554
 9.655 -10.227 -0.517
10.483 -10.115 -0.485
 8.616 -10.349  0.868
11.768 -9.827 -0.023
 9.790 -10.876  0.100
 9.056 -10.955 -1.605
11.710 -9.716  1.438
10.400 -9.806  0.631
 9.587 -11.446 -0.036
11.628 -9.749  0.009
10.073 -10.296  1.887
10.090 -8.881  0.121
10.887 -10.753  0.339
11.025 -10.066  0.186
11.450 -9.798  0.183
10.971 -10.176 -0.924
 9.053 -8.637 -0.254
 8.810 -10.469  1.355
10.859 -10.656  1.102
 8.736 -10.861  1.122
 7.540 -10.469 -0.477
10.943 -8.785  1.326
 8.365 -10.779  1.014
 9.022 -9.434  1.141
 9.368 -11.664  0.277
 9.250 -8.758  0.612
 9.968 -10.172  1.619
10.232 -11.042 -0.813
11.710 -10.528 -0.183
10.782 -10.610  1.445
10.182 -8.242 -0.812
 9.634 -11.342 -0.605
11.544 -10.360 -0.061
